POWER_DEMAND,temp,feelslike,dew,humidity,precipprob,windgust,windspeed,sealevelpressure,cloudcover,visibility,uvindex,preciptype_rain
5711,31.1,37.7,25.1,71.6,0,33.5,17.4,1002.0,52.0,4.8,9,False
5647,29.6,36.5,25.9,80.8,100,19.1,13.0,1003.5,81.9,3.5,8,True
6064,30.9,38.5,26.0,76.7,100,15.1,11.2,1001.5,77.3,3.2,8,True
6267,31.5,39.9,26.0,74.3,0,32.8,22.3,999.7,74.9,3.5,9,False
6111,30.7,36.8,24.7,71.4,0,55.4,27.7,1001.0,70.5,4.0,9,True
5783,29.1,34.7,25.3,80.9,100,35.6,16.6,1005.2,71.3,3.6,7,True
5862,30.1,34.9,24.3,72.3,0,23.0,11.2,1004.7,58.6,3.6,9,False
6100,30.7,36.7,24.9,73.0,0,29.5,14.8,1004.0,50.1,3.9,8,True
5910,30.7,36.1,24.3,70.2,100,33.5,20.1,1003.1,47.4,3.8,9,True
5945,30.6,34.7,23.1,65.9,0,35.3,17.9,1003.7,57.0,3.9,7,True
0,30.3,34.2,23.1,66.9,100,16.9,18.4,1007.5,67.2,3.5,9,True
5866,30.2,36.8,25.5,77.4,100,11.2,16.6,1007.9,76.0,3.3,9,True
6253,31.5,37.0,24.1,66.9,0,19.4,14.8,1005.3,46.5,4.3,8,False
6479,32.1,38.3,24.4,66.3,0,29.2,11.2,1005.0,64.8,5.3,5,True
6440,32.1,37.5,23.7,62.9,100,17.6,13.0,1006.4,73.0,7.0,8,True
6298,32.2,36.5,22.5,58.2,0,33.5,22.3,1004.0,52.3,5.1,9,False
6288,32.3,36.4,22.2,56.6,0,29.5,16.2,1002.7,30.8,4.9,9,False
6429,31.9,35.9,22.3,58.7,0,12.6,13.2,1004.6,44.3,4.7,9,False
